Gene	alpha	beta	gamma	delta	epsilon	zeta	eta	theta	iota
SRGAP3-AS3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRGAP3-AS4	0.0	0.22	0.0	0.0	0.32	0.0	0.0	0.0	0.0
SRGN	3.07	0.45	43.49	1.09	22.09	45.81	1.1	1.72	0.07
SRGNP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRI	88.55	110.12	128.74	49.97	52.22	92.0	59.97	58.71	39.41
SRIP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRIP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRIP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0
SRL	0.05	0.04	0.61	0.04	0.04	0.0	0.0	0.0	0.0
SRM	388.66	245.93	92.56	64.16	120.4	72.92	66.71	73.96	122.3
SRMP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRMP2	0.0	0.03	0.09	0.0	0.0	0.36	0.0	0.0	0.0
SRMS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRP14	322.89	579.22	733.45	963.68	551.36	496.78	320.23	230.34	231.55
SRP14-AS1	5.22	4.79	3.41	11.7	12.88	2.82	2.61	3.24	4.33
SRP19	66.06	85.28	128.07	71.49	175.57	83.77	36.5	43.18	56.28
SRP54	58.01	32.72	144.87	59.05	139.75	41.32	81.96	21.15	19.86
SRP54-AS1	2.64	1.77	5.17	0.12	6.05	1.51	1.22	0.0	0.68
SRP68	53.73	82.18	78.94	73.02	73.48	79.07	70.08	47.57	53.46
SRP68P1	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0
SRP68P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRP68P3	0.28	1.03	0.0	0.0	4.75	0.0	4.17	0.59	0.0
SRP72	66.27	56.84	121.98	67.8	115.93	74.89	136.21	57.86	93.33
SRP72P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRP72P2	0.02	0.0	0.04	0.0	0.02	0.17	0.01	0.0	0.06
SRP9	63.79	109.06	147.27	69.81	146.34	195.01	352.1	422.35	382.86
SRP9P1	5.51	120.74	107.96	53.32	36.15	48.8	48.61	38.58	41.64
SRPK1	23.6	19.92	64.07	7.35	35.51	23.66	36.13	63.82	51.25
SRPK2	29.54	36.31	57.28	10.35	26.79	40.93	29.16	20.56	51.69
SRPK2P	0.1	0.1	0.19	0.0	0.22	0.1	2.59	0.02	0.45
SRPK3	9.28	7.0	18.33	13.59	12.66	0.12	5.07	2.18	1.98
SRPR	78.08	127.45	65.21	146.98	105.91	49.69	107.27	58.82	48.18
SRPRB	42.89	85.64	32.16	49.13	65.71	42.07	115.58	92.9	69.8
SRPX	146.25	46.28	17.9	47.12	31.86	93.83	18.63	3.99	1.24
SRPX2	32.07	27.35	5.21	67.42	15.57	25.73	72.53	21.29	22.21
SRR	9.27	11.68	48.81	13.4	4.7	18.82	3.38	1.72	0.93
SRRD	18.34	9.05	9.77	28.61	13.69	16.03	9.67	10.26	13.76
SRRM1	320.08	168.2	421.13	108.22	114.38	99.37	295.02	103.73	121.16
SRRM1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRRM1P3	0.0	0.02	0.0	0.02	0.09	0.07	0.2	0.07	0.02
SRRM2	388.95	107.75	267.42	206.8	217.23	436.58	502.88	288.77	144.92
SRRM2-AS1	0.19	0.26	0.39	0.0	1.22	1.62	0.88	0.21	0.67
SRRM3	0.89	0.07	10.39	0.94	1.77	1.45	1.43	0.01	1.69
SRRM4	0.01	0.03	0.01	0.01	0.49	0.31	0.53	0.03	0.0
SRRM5	0.84	0.27	0.58	0.57	0.59	0.39	0.3	0.34	0.22
SRRT	169.97	157.07	114.39	89.39	168.8	125.23	58.72	81.12	103.92
SRSF1	135.87	226.7	169.96	122.67	269.57	351.23	299.01	267.76	262.84
SRSF10	220.79	209.41	234.39	118.2	195.43	160.33	301.44	80.02	137.1
SRSF10P1	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0
SRSF11	288.17	406.75	324.04	402.65	424.69	229.51	562.63	172.75	198.31
SRSF12	0.0	0.97	14.38	1.84	1.29	1.16	0.93	1.53	7.54
SRSF1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRSF2	418.44	298.24	245.48	323.34	367.58	609.61	209.55	230.75	259.68
SRSF3	461.02	289.54	471.84	235.3	497.61	703.26	561.59	473.43	433.25
SRSF4	104.61	131.22	127.91	132.0	93.94	115.0	137.69	51.69	59.71
SRSF5	162.67	772.14	724.13	422.32	333.23	571.54	495.22	226.16	218.82
SRSF6	102.21	80.58	106.87	198.66	147.33	186.75	116.09	84.48	40.96
SRSF7	198.77	89.03	144.02	103.73	215.18	268.52	218.73	222.85	188.23
SRSF8	5.32	6.25	14.62	5.78	0.99	4.65	4.43	2.21	2.47
SRSF9	95.82	65.92	75.89	55.65	103.31	173.93	80.78	69.93	56.27
SRSF9P1	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0
SRXN1	16.75	12.54	10.11	29.98	36.27	24.73	23.02	12.05	9.27
SRY	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
SS18	75.03	177.09	62.22	107.2	33.06	77.99	57.91	55.39	44.72
SS18L1	4.61	8.27	8.81	12.05	16.43	14.65	14.18	7.04	8.69
SS18L2	40.46	13.03	6.81	7.17	13.14	30.28	12.48	4.51	2.95
SS18L2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS18L2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSB	144.12	51.12	89.92	78.12	103.17	76.92	116.99	86.64	106.91
SSBP1	193.93	201.1	198.92	248.23	204.2	118.41	101.76	147.07	234.26
SSBP2	15.63	21.97	70.71	2.75	46.65	9.72	10.89	5.56	6.26
SSBP3	45.18	44.01	124.32	70.37	106.95	125.18	98.38	58.72	44.06
SSBP3-AS1	1.93	0.22	0.86	0.31	1.63	3.15	0.54	0.46	0.39
SSBP4	184.27	55.14	66.2	25.64	148.86	170.06	39.93	62.45	40.95
SSC4D	2.68	2.45	2.16	6.14	0.87	0.38	0.0	0.93	0.05
SSC5D	13.51	10.35	2.3	70.99	1.08	0.41	9.95	0.01	0.04
SSFA2	47.17	34.96	35.47	104.47	36.78	83.52	71.98	7.55	18.96
SSH1	28.21	7.51	10.57	10.43	15.82	28.12	22.69	6.41	17.69
SSH2	37.85	30.36	13.17	16.11	21.76	21.22	20.1	19.76	11.65
SSH3	11.84	8.54	15.38	13.75	12.38	38.18	5.99	2.95	3.39
SSMEM1	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSNA1	45.24	91.62	79.83	66.93	105.37	72.59	34.7	25.02	35.27
SSPN	15.86	12.03	6.76	18.85	41.36	48.28	9.01	3.66	5.39
SSPO	0.11	0.02	0.02	0.0	0.04	0.04	0.06	0.0	0.01
SSR1	39.78	111.2	35.96	166.83	73.61	83.57	288.31	218.68	180.81
SSR1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSR1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSR2	336.74	651.21	774.72	496.6	379.36	251.89	507.36	244.24	562.0
SSR3	56.75	128.79	69.83	90.25	151.36	113.72	123.66	83.28	96.4
SSR4	109.78	698.68	197.71	268.36	195.57	260.04	700.48	344.57	1199.18
SSR4P1	1.12	2.96	1.21	0.18	2.05	1.62	1.25	0.94	0.28
SSRP1	115.92	132.36	317.26	83.15	213.56	125.29	100.32	67.63	91.84
SSSCA1	54.87	56.09	93.84	113.07	98.08	83.94	90.55	46.65	52.38
SSSCA1-AS1	1.43	2.32	1.01	1.63	1.59	5.6	1.0	1.57	2.1
SST	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSTR1	0.39	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSTR2	0.07	3.02	0.47	0.22	3.43	2.47	2.6	0.11	0.05
SSTR3	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
SSTR4	0.0	0.0	0.97	0.26	9.4	0.0	0.0	0.0	0.0
SSTR5	0.0	0.77	0.0	0.0	0.0	0.04	0.0	0.0	0.0
SSTR5-AS1	0.0	1.36	0.0	0.0	0.0	0.05	0.0	0.0	0.0
SSU72	80.37	52.61	62.45	17.72	69.1	70.3	100.74	39.01	71.31
SSU72P1	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSU72P8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSUH2	0.48	0.31	0.43	0.93	146.47	1.07	0.0	0.06	0.19
SSX1	0.0	1.6	0.5	4.63	0.24	0.08	13.21	0.0	0.11
SSX2	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSX2B	0.0	6.0	0.0	36.16	0.0	0.0	0.83	0.0	0.04
SSX2IP	19.02	8.55	8.49	3.92	20.8	11.55	14.7	2.16	4.24
SSX3	0.0	0.17	0.0	22.5	0.0	0.0	0.0	0.0	0.0
SSX4	0.0	0.31	0.02	2.74	0.11	0.05	0.23	0.0	0.0
SSX4B	0.0	0.31	0.02	2.74	0.11	0.05	0.23	0.0	0.0
SSX5	0.0	0.0	0.0	0.0	0.0	0.0	3.46	0.0	0.0
SSX6	0.0	0.35	0.0	0.0	0.02	0.31	0.0	0.0	0.03
SSX7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSX8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSX9	0.0	0.58	0.0	1.24	0.0	0.0	0.0	0.0	0.0
SSXP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSXP10	0.0	0.0	0.0	0.0	0.07	0.22	0.0	0.0	0.0
SSXP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSXP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSXP5	0.18	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0
SSXP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13	219.31	143.87	336.6	273.65	194.21	235.09	352.39	181.74	212.48
ST13P10	0.15	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
ST13P11	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13P12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13P13	0.24	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.03
ST13P14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13P15	0.34	0.48	1.63	1.01	0.05	0.41	1.36	0.08	0.33
ST13P16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13P18	0.0	0.06	0.13	0.15	0.04	0.11	0.0	0.35	0.07
ST13P19	0.19	0.18	0.3	0.33	0.05	0.13	0.09	0.12	0.03
ST13P2	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13P20	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0
ST13P21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST13P3	0.09	0.12	0.27	0.06	0.03	0.28	0.51	0.04	0.1
ST13P4	0.15	0.17	0.72	0.0	0.12	0.33	0.14	0.32	0.09
ST13P5	0.11	0.03	0.4	0.12	0.29	0.21	0.26	0.1	0.31
ST13P6	0.21	0.28	0.85	0.38	0.23	0.56	0.85	0.3	0.39
ST14	0.15	0.03	0.0	1.19	1.04	0.23	0.48	0.0	0.0
ST18	0.0	0.01	0.0	0.0	0.75	0.22	0.0	0.0	0.0
ST20	7.52	15.35	7.89	11.29	4.49	14.49	0.0	1.99	0.54
ST20-AS1	0.87	2.98	0.89	0.59	0.8	3.95	1.08	0.62	0.38
ST20-MTHFS	1.84	7.97	1.55	3.76	1.74	7.53	4.76	0.47	2.24
ST3GAL1	19.3	35.58	25.99	5.93	62.24	64.22	37.65	16.71	7.43
ST3GAL1P1	0.0	0.2	0.04	0.0	0.03	0.0	0.0	0.1	0.22
ST3GAL2	17.77	18.29	25.07	25.11	25.61	18.42	71.05	7.22	10.7
ST3GAL3	15.56	22.17	21.75	25.87	16.44	22.28	16.13	6.8	9.94
ST3GAL4	52.84	68.6	84.27	120.87	144.23	72.54	40.53	25.12	78.49
ST3GAL4-AS1	7.16	2.63	4.94	4.15	10.76	1.02	3.22	0.91	2.05
ST3GAL5	21.21	1.34	8.47	43.17	3.74	3.72	18.29	4.59	15.25
ST3GAL5-AS1	0.8	0.12	0.74	0.34	0.09	0.0	1.59	0.03	0.44
ST3GAL6	0.29	2.43	2.31	0.65	1.29	1.57	6.99	9.9	5.75
ST3GAL6-AS1	0.13	0.05	0.99	0.0	0.32	0.0	1.08	0.83	2.23
ST5	15.06	6.36	17.2	24.81	10.08	35.37	6.37	21.82	5.92
ST6GAL1	0.58	0.24	2.87	1.09	0.3	2.37	0.35	7.05	0.03
ST6GAL2	11.24	0.02	0.71	32.18	0.77	0.45	0.69	2.25	0.09
ST6GAL2-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST6GALNAC1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.32	0.0
ST6GALNAC2	1.72	0.35	11.89	0.14	2.71	29.34	3.4	0.07	8.91
ST6GALNAC2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST6GALNAC3	0.15	3.65	1.23	1.34	0.89	0.63	2.25	0.29	0.0
ST6GALNAC4	15.53	40.6	13.25	23.53	23.16	32.33	31.25	13.67	12.74
ST6GALNAC4P1	0.0	0.07	0.0	0.0	0.15	1.74	0.0	0.38	0.0
ST6GALNAC5	5.28	13.99	0.74	5.47	0.06	0.58	0.15	0.06	0.0
ST6GALNAC6	31.79	41.89	19.77	48.54	42.62	74.33	39.33	17.22	38.29
ST7	14.1	16.43	9.38	35.42	32.43	18.85	17.1	9.75	13.01
ST7-AS1	1.25	5.28	5.07	1.79	2.4	1.61	1.31	0.53	0.17
ST7-AS1_1	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0
ST7-AS1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7-AS2	0.19	0.03	0.0	0.0	0.0	0.31	0.0	0.0	0.0
ST7-AS2_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7-OT3_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7-OT3_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7-OT3_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7-OT4	0.54	0.6	0.43	0.33	0.0	0.24	1.82	0.86	0.0
ST7-OT4_1	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0
ST7-OT4_2	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0
ST7-OT4_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7-OT4_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST7L	18.83	25.98	23.21	17.99	19.96	19.53	20.24	15.21	23.96
ST8SIA1	4.5	12.13	3.53	0.68	3.8	9.06	5.19	3.73	3.91
ST8SIA2	0.01	5.44	0.33	0.0	7.31	3.2	6.67	0.0	0.0
ST8SIA3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST8SIA4	6.66	12.4	0.89	3.0	1.06	0.87	3.0	3.1	2.5
ST8SIA5	0.49	0.69	0.04	0.0	0.84	8.37	0.19	0.08	0.8
ST8SIA6	0.0	0.0	0.07	0.6	1.44	0.06	0.0	0.28	0.02
ST8SIA6-AS1	0.0	0.37	0.0	0.0	39.3	0.0	0.0	0.0	0.0
STAB1	2.26	4.97	0.23	71.26	0.15	1.02	0.08	0.0	0.32
STAB2	0.18	0.01	0.0	0.03	0.08	0.02	0.0	0.01	0.0
STAC	0.0	33.77	2.27	6.71	1.86	10.42	7.29	0.0	0.02
STAC2	2.96	34.37	1.59	0.15	13.09	0.9	0.72	0.14	0.09
STAC3	3.0	3.5	0.62	2.92	0.71	1.35	1.35	0.28	0.67
STAG1	9.55	24.82	11.48	8.19	25.26	17.51	39.11	3.28	7.46
STAG2	23.25	56.24	37.1	58.47	59.49	44.4	78.11	46.48	26.36
STAG3	1.35	13.1	17.79	6.74	8.66	4.46	8.48	2.25	7.76
STAG3L1	8.36	23.35	1.98	3.88	2.86	6.76	3.42	4.44	0.71
STAG3L2	3.15	15.7	4.74	4.92	5.27	10.88	6.73	6.4	5.67
STAG3L3	13.07	38.87	8.67	4.71	10.87	24.12	7.55	7.94	4.63
STAG3L4	11.52	10.56	7.12	4.4	7.13	15.35	3.22	5.59	3.94
STAG3L5P	23.03	39.55	17.03	24.28	24.69	39.94	34.32	7.79	39.64
STAG3L5P-PVRIG2P-PILRB	29.18	73.06	39.84	38.82	24.11	34.69	19.54	12.51	26.77
STAM	7.55	16.75	20.95	35.08	43.47	20.02	14.32	6.09	7.3
STAM-AS1	0.0	0.17	0.16	0.36	1.05	0.96	0.19	0.22	0.19
STAM2	12.85	16.54	17.39	29.92	19.74	20.44	16.59	7.59	9.61
STAMBP	25.05	24.48	32.28	50.57	42.03	55.91	59.34	15.2	28.6
STAMBPL1	10.22	0.74	4.87	0.99	10.36	18.03	1.33	0.13	0.03
STAP1	0.0	0.0	0.0	0.0	0.18	0.43	0.0	0.0	0.0
STAP2	2.22	1.67	1.08	7.45	7.42	11.55	1.01	0.84	1.25
STAR	0.13	0.07	0.75	0.0	0.05	0.39	0.13	0.07	0.15
STARD10	32.41	15.61	34.54	48.95	48.7	16.7	9.17	5.27	8.57
STARD13	17.03	3.4	24.75	4.21	10.33	17.23	14.17	5.5	6.85
STARD13-AS	1.06	0.56	5.03	0.0	0.74	0.2	0.0	0.26	0.26
STARD13-IT1	0.31	0.0	0.37	0.0	0.09	0.0	0.0	0.0	0.0
STARD3	47.99	41.71	14.71	83.45	24.24	49.89	33.44	26.16	28.7
STARD3NL	33.03	14.18	30.32	8.3	98.58	62.6	55.38	22.29	29.44
STARD4	10.26	3.15	8.0	4.64	13.25	95.13	7.71	2.35	7.71
STARD4-AS1	4.6	2.9	0.78	3.92	5.36	5.9	2.68	0.45	0.42
STARD5	7.7	4.08	4.11	4.81	2.31	7.34	3.64	1.24	3.66
STARD6	0.17	1.02	0.75	0.0	0.23	0.0	0.0	0.0	0.0
STARD7	39.65	63.37	62.82	33.02	97.51	66.14	50.42	45.51	45.4
STARD7-AS1	4.07	8.72	7.45	5.2	4.39	4.37	2.51	1.83	1.83
STARD8	8.29	6.3	4.42	4.12	5.17	4.22	4.73	1.26	0.43
STARD9	7.01	6.57	4.63	11.46	7.99	11.8	8.91	2.21	5.34
STARP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STAT1	31.52	18.45	24.59	33.28	55.82	36.28	59.97	13.7	25.56
STAT2	103.28	70.65	42.09	87.17	26.82	62.15	68.96	17.17	16.03
STAT3	27.52	29.64	16.11	48.38	68.08	81.89	47.46	34.37	25.72
STAT4	1.84	1.48	1.41	4.51	2.14	0.45	1.94	1.0	0.82
STAT5A	7.39	9.74	1.42	15.83	1.42	12.28	5.66	12.82	0.29
STAT5B	13.82	14.72	8.93	12.88	9.8	30.66	6.85	6.33	6.43
STAT6	96.14	57.52	57.78	85.13	63.58	86.36	93.74	59.85	21.88
STATH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STAU1	38.17	36.32	52.97	55.04	88.92	59.56	66.85	27.56	31.6
STAU2	29.92	30.95	89.11	87.59	13.02	18.3	73.31	43.15	42.54
STAU2-AS1	0.12	0.01	0.0	0.14	0.07	0.12	0.0	0.05	0.0
STC1	15.92	6.28	0.93	0.01	8.99	12.34	5.93	2.26	0.04
STC2	14.93	11.08	41.59	0.91	23.19	4.38	20.77	26.53	25.58
STEAP1	4.99	14.85	7.62	7.32	4.73	9.69	5.65	12.05	0.99
STEAP1B	7.4	13.38	13.49	14.04	18.2	0.9	4.91	12.33	2.13
STEAP2	0.7	4.95	1.53	1.21	0.88	2.15	2.56	0.33	0.43
STEAP2-AS1	0.0	0.23	0.0	0.0	0.0	0.19	0.0	0.0	0.0
STEAP3	170.89	11.26	12.28	138.28	17.96	11.65	13.33	12.06	9.27
STEAP3-AS1	1.11	0.12	0.23	0.52	0.24	0.15	0.03	0.08	0.09
STEAP4	0.38	2.62	1.41	0.56	0.05	0.04	8.76	0.02	0.14
STH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STIL	10.14	15.11	14.31	6.24	13.46	16.44	20.57	7.16	11.3
STIM1	12.58	13.3	45.74	21.74	36.1	39.05	57.58	21.71	23.9
STIM2	24.72	36.48	25.57	19.54	20.48	16.15	63.62	5.83	20.94
STIP1	129.93	99.32	204.03	100.09	195.23	280.72	143.96	128.98	201.92
STIP1P3	0.0	0.0	0.02	0.0	0.04	0.09	0.0	0.01	0.04
STK10	7.16	6.14	40.34	14.5	37.92	53.93	22.79	8.1	16.88
STK11	37.76	27.11	14.03	18.78	20.65	30.7	27.8	17.11	14.97
STK11IP	17.15	15.84	11.48	6.52	12.48	26.53	35.73	20.08	20.5
STK16	16.2	17.37	22.58	21.11	24.92	31.54	30.37	16.95	16.78
STK17A	52.15	6.8	18.71	6.38	18.2	29.26	9.92	22.03	12.64
STK17B	35.97	5.9	13.76	18.95	15.9	13.62	22.25	12.79	13.37
STK19	26.03	48.42	59.47	35.29	20.98	34.48	27.0	17.64	11.22
STK19B	0.0	0.0	7.37	22.36	2.79	17.58	0.0	0.0	0.0
STK24	37.9	28.82	93.55	72.96	112.11	171.55	109.01	17.62	25.83
STK24-AS1	0.0	0.5	0.66	0.29	0.72	2.99	0.93	0.0	0.19
STK24P1	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0
STK25	66.72	59.1	131.39	104.48	125.01	247.91	104.76	64.8	120.54
STK25P1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
STK26	8.33	34.77	26.37	19.26	39.93	2.49	88.47	38.61	15.68
STK3	41.65	21.85	41.22	12.48	24.05	17.22	27.6	9.26	30.96
STK31	0.0	0.11	0.09	0.55	0.15	0.11	0.1	0.27	0.72
STK32A	0.03	7.49	0.98	0.26	1.05	1.29	14.5	0.0	0.49
STK32B	8.73	6.14	8.38	1.32	1.58	2.65	3.61	0.01	0.03
STK32C	31.98	8.18	6.88	13.01	12.25	107.23	3.35	4.38	6.41
STK33	0.25	0.21	8.27	3.94	0.21	0.49	0.0	2.35	0.0
STK33P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STK35	7.43	6.11	11.46	6.25	19.16	14.99	11.78	5.88	5.13
STK36	43.44	33.4	10.27	51.99	26.23	41.7	46.27	9.17	3.78
STK38	30.1	23.34	64.49	23.54	24.21	28.53	28.17	23.54	26.55
STK38L	29.56	29.62	38.81	15.14	51.96	31.87	32.14	9.47	73.03
STK39	30.02	13.25	10.18	8.07	36.89	14.59	21.5	6.33	9.05
STK4	7.3	6.7	9.01	11.07	16.26	14.65	14.45	6.69	3.74
STK4-AS1	0.05	0.25	0.41	0.0	0.34	0.34	0.51	0.19	0.03
STK40	23.64	26.55	20.79	16.52	30.0	43.97	31.01	8.32	14.56
STKLD1	0.78	4.28	2.98	4.53	0.64	0.86	0.72	0.1	1.32
STMN1	439.26	548.95	3229.45	286.94	546.7	521.2	566.71	178.31	259.91
STMN1P1	0.0	0.0	0.0	0.0	0.18	0.81	0.0	0.0	0.0
STMN1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STMN2	0.0	0.0	0.02	0.0	0.21	1.33	0.0	0.0	0.0
STMN3	34.62	0.52	15.51	6.18	31.55	33.21	2.79	2.52	19.32
STMN4	0.08	0.01	0.0	0.0	0.03	0.0	0.21	0.0	0.19
STMND1	0.0	0.13	0.0	0.0	0.21	0.08	0.0	0.49	0.0
STOM	57.17	40.0	14.89	39.98	27.75	79.44	42.82	28.25	34.8
STOML1	8.44	8.7	10.24	15.75	10.8	7.5	2.07	2.75	3.41
STOML2	109.46	56.06	98.33	84.77	119.85	62.71	59.89	78.86	63.31
STOML3	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
STON1	23.29	18.13	22.57	6.99	30.48	4.22	39.77	12.8	22.56
STON1-GTF2A1L	0.26	1.17	1.67	0.0	3.17	0.0	8.86	0.82	1.05
STON2	4.34	17.51	77.29	10.57	29.82	1.09	37.13	10.19	10.89
STOX1	0.0	0.01	3.01	0.0	0.42	0.72	0.4	0.01	0.31
STOX2	0.0	6.71	3.75	1.2	4.05	0.5	4.97	6.91	8.18
STPG1	9.52	8.76	22.75	4.88	8.16	5.2	9.25	6.57	5.51
STPG2	0.0	0.07	0.01	0.0	0.0	0.0	0.29	0.0	0.0
STPG2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STRA13	115.89	103.58	107.27	49.94	79.5	116.3	59.99	52.46	121.95
STRA6	11.38	0.09	3.32	40.4	10.17	199.04	2.25	4.29	0.0
STRA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STRADA	52.3	59.13	29.66	37.45	21.22	36.25	47.26	17.27	53.77
STRADB	8.83	5.79	8.04	7.3	18.75	6.45	3.38	2.81	6.88
STRADBP1	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
STRAP	85.84	27.61	121.14	36.12	327.27	176.86	65.04	124.16	55.24
STRBP	2.98	6.14	7.96	3.25	9.7	3.92	1.24	5.07	0.43
STRC	0.98	0.72	0.02	0.0	0.19	0.18	0.26	0.23	0.66
STRCP1	0.05	0.0	0.11	0.0	0.08	0.05	0.0	0.0	0.0
STRIP1	27.91	38.49	34.43	41.37	23.67	28.62	22.89	13.48	14.02
STRIP2	9.81	7.32	3.4	20.45	10.73	6.94	1.13	0.6	1.72
STRN	8.72	10.39	27.97	10.01	14.82	12.74	34.85	7.49	21.66
STRN3	20.27	14.98	14.22	15.96	25.14	25.35	20.79	9.02	7.95
STRN4	35.91	31.13	52.11	54.74	82.57	92.29	57.21	24.62	34.66
STS	1.93	3.99	2.63	5.88	5.76	3.03	2.28	0.82	1.84
STSP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STT3A	96.2	201.86	217.64	185.57	144.15	65.13	218.58	78.33	190.46
STT3A-AS1	0.0	0.0	0.13	0.0	0.0	0.0	2.27	0.0	0.0
STT3B	76.47	85.44	56.22	50.84	89.43	76.9	95.21	25.49	31.4
STUB1	107.99	90.58	67.36	51.4	154.98	109.04	41.14	26.04	18.17
STX10	76.12	439.24	72.1	50.73	59.86	66.93	58.28	36.26	46.78
STX11	0.46	0.23	2.12	0.0	1.16	13.37	0.87	0.08	0.48
